Var1,CitrineAU_IP
0,1.67278368283537
0.48484848484848,4.69762393306989
1.33333333333333,15.8648498383557
2.18181818181818,20.9859746083298
3.03030303030303,22.4628735254675
3.87878787878788,22.8355471047058
4.72727272727273,22.9252937199167
5.57575757575757,22.9465294741124
6.42424242424243,22.9515198197588
7.27272727272727,22.9526895899225
8.12121212121212,22.9529632847756
8.96969696969697,22.9530273649636
9.81818181818182,22.9530423515656
10.6666666666667,22.9530460548864
11.5151515151515,22.9530469847787
12,22.9530472111543
12.3636363636364,22.9530472775434
13.2121212121212,22.9530472629837
14.0606060606061,22.9530471986968
14.9090909090909,22.9530471127978
15.7575757575758,22.953047112209
16.6060606060606,22.9530471168806
17.4545454545455,22.9530471634967
18.3030303030303,22.9530471956227
19.1515151515151,22.9530472211816
20,22.9530472282672
20.8484848484849,22.9530472488685
21.6969696969697,22.9530472630747
22.5454545454545,22.9530472627868
23.3939393939394,22.9530472458559
24,22.9530472472307
24.2424242424242,22.9530472473755
25.0909090909091,22.953047245614
25.9393939393939,22.9530472395323
26.7878787878788,22.9530472321058
27.6363636363636,22.9530472321569
28.4848484848485,22.9530472317009
29.3333333333333,22.9530472307377
30.1818181818182,22.9530472292673
31.030303030303,22.9530472272897
31.8787878787879,22.9530472250386
32.7272727272727,22.9530472244072
33.5757575757576,22.9530472239063
34.4242424242424,22.9530472235358
35.2727272727273,22.9530472232958
36,22.9530472231939
36.1212121212121,22.9530472231862
36.969696969697,22.953047223207
37.8181818181818,22.9530472228759
38.6666666666667,22.9530472225758
39.5151515151515,22.9530472223325
40.3636363636364,22.9530472221462
41.2121212121212,22.9530472220169
42.0606060606061,22.9530472219445
42.9090909090909,22.953047221929
43.7575757575758,22.9530472219705
44.6060606060606,22.9530472220689
45.4545454545455,22.9530472222242
46.3030303030303,22.9530472224365
47.1515151515151,22.9530472227058
48,22.953047223032
